EmployeeNumber,set,Attrition,Department,JobRole,OverTime,MonthlyIncome,Age,YearsAtCompany,JobSatisfaction,risk_score,risk_decile,top_shap_driver
431,train,No,Research & Development,Healthcare Representative,Yes,13964,49,7,3,0.454,7,OverTime
433,train,Yes,Research & Development,Research Scientist,No,4941,52,8,2,0.4113,6,StockOptionLevel
434,test,No,Research & Development,Research Scientist,Yes,2478,27,4,2,0.624,10,OverTime
436,train,No,Sales,Sales Executive,Yes,5228,32,13,2,0.5392,9,StockOptionLevel
437,train,No,Sales,Sales Executive,Yes,4478,27,5,3,0.5435,9,OverTime
438,train,No,Sales,Sales Executive,No,7547,31,7,4,0.3353,2,StockOptionLevel
439,train,No,Research & Development,Research Scientist,No,5055,32,7,4,0.4469,7,StockOptionLevel
440,train,Yes,Research & Development,Research Scientist,Yes,3464,28,3,4,0.6796,10,OverTime
441,train,No,Research & Development,Research Scientist,No,5775,30,10,4,0.3392,2,StockOptionLevel
442,train,No,Research & Development,Manufacturing Director,No,8943,31,10,3,0.3358,2,StockOptionLevel
444,train,No,Research & Development,Manager,No,19272,39,21,4,0.3145,1,StockOptionLevel
445,train,Yes,Sales,Sales Executive,Yes,5238,39,1,3,0.6154,10,OverTime
446,test,No,Sales,Sales Executive,No,4682,33,7,4,0.487,8,StockOptionLevel
447,test,No,Research & Development,Research Director,No,18300,47,3,3,0.3289,1,MonthlyIncome
448,train,No,Research & Development,Laboratory Technician,No,5257,43,9,3,0.2989,1,Age
449,train,No,Sales,Sales Executive,Yes,6349,27,5,2,0.3948,5,StockOptionLevel
450,test,No,Research & Development,Research Scientist,No,4869,54,4,3,0.3934,5,Age
451,test,No,Research & Development,Healthcare Representative,No,9985,43,1,1,0.3537,3,Age
452,train,No,Research & Development,Research Scientist,No,3697,45,10,4,0.3267,1,StockOptionLevel
453,train,No,Sales,Sales Executive,Yes,7457,40,4,4,0.3933,5,StockOptionLevel
454,train,Yes,Research & Development,Laboratory Technician,Yes,2119,29,7,1,0.6885,10,MonthlyIncome
455,test,No,Research & Development,Laboratory Technician,No,3983,29,3,4,0.5352,9,Age
456,train,No,Sales,Sales Executive,No,6118,30,10,3,0.3232,1,StockOptionLevel
458,train,No,Sales,Sales Executive,No,6214,27,8,2,0.341,2,StockOptionLevel
460,train,No,Research & Development,Manufacturing Director,No,6347,37,6,4,0.3389,2,StockOptionLevel
461,test,No,Research & Development,Research Director,Yes,11510,38,11,4,0.3378,2,OverTime
462,train,No,Research & Development,Manufacturing Director,Yes,7143,31,11,4,0.4273,7,StockOptionLevel
463,train,No,Sales,Sales Executive,Yes,8268,29,7,2,0.3635,4,StockOptionLevel
464,train,No,Research & Development,Manufacturing Director,No,8095,35,16,2,0.3595,3,Age
465,train,No,Research & Development,Research Scientist,No,2904,23,4,4,0.3705,4,OverTime
466,train,No,Research & Development,Manufacturing Director,Yes,6032,41,5,2,0.4092,6,Age
467,train,No,Sales,Sales Representative,No,2976,47,0,3,0.4561,7,Age
468,test,No,Research & Development,Research Director,No,15992,42,1,4,0.3422,2,Age
469,train,No,Sales,Sales Executive,No,4649,29,4,3,0.3226,1,StockOptionLevel
470,train,No,Human Resources,Human Resources,Yes,2696,42,3,3,0.4744,8,Age
471,train,No,Research & Development,Laboratory Technician,No,2370,32,8,2,0.4021,6,OverTime
473,train,No,Sales,Manager,No,12504,48,0,3,0.3512,3,Age
474,test,No,Research & Development,Research Scientist,Yes,5974,37,7,1,0.3454,3,StockOptionLevel
475,train,No,Sales,Sales Executive,Yes,4736,30,2,3,0.4716,8,OverTime
476,train,No,Sales,Sales Executive,No,5296,26,8,3,0.3168,1,StockOptionLevel
477,test,No,Research & Development,Healthcare Representative,No,6781,42,1,4,0.387,5,Age
478,test,Yes,Sales,Sales Representative,Yes,2174,21,3,2,0.6951,10,OverTime
479,train,No,Sales,Sales Executive,No,6653,36,1,4,0.4213,6,Age
481,test,No,Sales,Sales Executive,No,9699,36,13,4,0.3997,6,OverTime
482,test,No,Research & Development,Healthcare Representative,No,6755,57,3,3,0.3717,4,OverTime
483,train,No,Research & Development,Laboratory Technician,Yes,2213,40,7,3,0.5034,8,OverTime
484,test,No,Sales,Sales Representative,No,2610,21,3,4,0.5651,9,Age
485,train,Yes,Sales,Sales Representative,Yes,2851,33,1,3,0.6864,10,OverTime
486,train,No,Research & Development,Laboratory Technician,No,3452,37,5,1,0.3365,2,Age
487,train,No,Research & Development,Manufacturing Director,No,5258,46,1,3,0.3495,3,Age
488,train,Yes,Sales,Sales Executive,No,9355,41,8,2,0.4645,8,Age
491,test,No,Research & Development,Healthcare Representative,No,10496,50,4,4,0.3925,5,Age
492,train,Yes,Sales,Sales Executive,Yes,6380,40,6,3,0.5539,9,OverTime
493,train,No,Research & Development,Research Scientist,Yes,2657,31,2,2,0.5857,10,JobLevel
494,train,Yes,Sales,Sales Representative,No,2716,21,1,2,0.6037,10,Age
495,test,No,Research & Development,Research Scientist,No,2201,29,3,4,0.5135,8,Age
496,test,No,Research & Development,Healthcare Representative,No,6540,35,1,2,0.4073,6,Age
497,train,No,Research & Development,Laboratory Technician,No,3816,27,5,2,0.3716,4,StockOptionLevel
498,train,No,Sales,Sales Executive,No,5253,28,7,4,0.4271,7,StockOptionLevel
499,test,No,Research & Development,Healthcare Representative,No,10965,49,5,3,0.3661,4,Age
500,test,No,Sales,Sales Executive,No,4936,51,7,4,0.3634,4,OverTime
501,train,No,Research & Development,Research Scientist,No,2543,36,2,3,0.33,2,OverTime
502,train,Yes,Sales,Sales Executive,Yes,5304,34,5,4,0.6281,10,OverTime
505,test,No,Research & Development,Manager,Yes,16659,55,5,4,0.4078,6,Age
507,train,No,Sales,Sales Executive,Yes,4260,24,5,3,0.3561,3,StockOptionLevel
508,train,No,Sales,Sales Representative,No,2476,30,1,2,0.4942,8,OverTime
510,train,Yes,Research & Development,Research Scientist,No,3102,26,6,1,0.5562,9,Age
511,train,No,Research & Development,Research Scientist,No,2244,22,2,2,0.4477,7,OverTime
513,train,No,Sales,Sales Executive,No,7596,36,10,3,0.4126,6,YearsWithCurrManager
514,train,Yes,Research & Development,Research Scientist,Yes,2285,30,1,4,0.7218,10,JobLevel
515,train,No,Research & Development,Laboratory Technician,No,3034,37,18,1,0.3294,2,Age
516,train,No,Sales,Sales Executive,No,5715,40,5,2,0.3415,2,StockOptionLevel
517,test,No,Research & Development,Laboratory Technician,No,2576,42,5,1,0.3379,2,Age
518,train,No,Research & Development,Manufacturing Director,Yes,4197,37,1,2,0.4234,7,Age
520,train,No,Research & Development,Research Director,No,14336,43,25,2,0.3211,1,MonthlyIncome
521,train,No,Research & Development,Laboratory Technician,No,3448,40,1,3,0.3704,4,OverTime
522,train,No,Research & Development,Research Director,No,19406,54,4,1,0.353,3,MonthlyIncome
523,test,No,Sales,Sales Executive,No,6538,34,3,3,0.3337,2,OverTime
524,train,No,Research & Development,Manufacturing Director,No,4306,31,13,1,0.3438,2,StockOptionLevel
525,train,No,Research & Development,Laboratory Technician,No,2258,43,3,4,0.3579,3,Age
526,train,No,Research & Development,Healthcare Representative,Yes,4522,43,5,3,0.4206,6,OverTime
527,test,No,Sales,Sales Executive,Yes,4487,25,5,4,0.5785,9,StockOptionLevel
529,train,No,Research & Development,Research Scientist,Yes,4449,37,13,3,0.4102,6,OverTime
530,train,No,Research & Development,Laboratory Technician,No,2218,31,4,1,0.4453,7,MonthlyIncome
531,train,No,Research & Development,Manager,Yes,19197,39,21,3,0.3799,5,OverTime
532,test,No,Sales,Sales Executive,No,13212,56,7,1,0.3936,5,MonthlyIncome
533,train,No,Sales,Sales Executive,No,6577,30,5,3,0.4829,8,StockOptionLevel
534,train,No,Sales,Sales Executive,No,8392,41,10,1,0.3528,3,OverTime
536,train,No,Research & Development,Laboratory Technician,No,4558,28,10,1,0.3192,1,StockOptionLevel
538,train,Yes,Research & Development,Laboratory Technician,No,4031,25,2,1,0.4946,8,NumCompaniesWorked
543,train,No,Research & Development,Manufacturing Director,Yes,7969,52,5,3,0.3894,5,Age
544,train,No,Research & Development,Research Scientist,No,2654,45,2,4,0.3991,6,Age
546,train,No,Research & Development,Manager,No,16555,52,5,4,0.3707,4,MonthlyIncome
547,test,No,Research & Development,Research Scientist,No,4556,42,5,3,0.3535,3,Age
548,test,No,Research & Development,Manufacturing Director,No,6091,30,5,4,0.4711,8,StockOptionLevel
549,test,No,Research & Development,Manager,No,19566,60,29,1,0.3815,5,MonthlyIncome
550,test,No,Research & Development,Manufacturing Director,No,4810,46,10,3,0.3353,2,MonthlyIncome
551,train,No,Research & Development,Healthcare Representative,No,4523,42,6,4,0.3568,3,Age
554,train,Yes,Sales,Sales Representative,Yes,3202,24,5,2,0.6448,10,OverTime
555,train,Yes,Sales,Sales Representative,No,2351,34,2,3,0.585,10,MonthlyIncome
556,train,No,Research & Development,Laboratory Technician,Yes,1702,38,1,4,0.534,9,Age
558,train,No,Sales,Manager,No,18041,40,20,3,0.3536,3,Age
560,train,No,Research & Development,Research Scientist,No,2886,26,3,4,0.4319,7,StockOptionLevel
562,test,No,Research & Development,Laboratory Technician,No,2097,30,5,4,0.4753,8,MonthlyIncome
564,train,No,Research & Development,Research Director,No,11935,29,10,3,0.4349,7,StockOptionLevel
565,test,Yes,Research & Development,Research Scientist,No,2546,29,2,2,0.5175,9,Age
566,test,Yes,Human Resources,Human Resources,No,2564,19,1,4,0.6185,10,Age
567,test,No,Sales,Sales Executive,No,8412,30,9,1,0.4747,8,Age
568,test,No,Sales,Manager,No,14118,57,1,4,0.3413,2,Age
569,train,No,Research & Development,Manager,No,17046,50,27,3,0.3391,2,MonthlyIncome
571,train,No,Research & Development,Laboratory Technician,No,2564,30,11,4,0.4735,8,Age
573,train,No,Sales,Sales Executive,No,10266,60,18,1,0.4405,7,OverTime
574,test,No,Research & Development,Manufacturing Director,No,5070,47,5,4,0.4114,6,NumCompaniesWorked
575,train,No,Research & Development,Research Director,No,17861,46,3,3,0.3638,4,Age
577,train,No,Research & Development,Laboratory Technician,No,4230,35,5,3,0.3877,5,Age
578,train,No,Research & Development,Laboratory Technician,No,3780,54,1,3,0.3343,2,Age
579,train,No,Research & Development,Research Scientist,No,2768,34,7,3,0.3139,1,OverTime
580,train,No,Sales,Sales Executive,Yes,9071,46,3,4,0.3838,5,StockOptionLevel
581,train,No,Research & Development,Manufacturing Director,No,10648,31,13,2,0.3147,1,StockOptionLevel
582,train,Yes,Research & Development,Manager,Yes,13610,33,7,3,0.5745,9,OverTime
584,train,Yes,Research & Development,Laboratory Technician,No,3408,33,4,4,0.5389,9,NumCompaniesWorked
585,train,No,Sales,Sales Representative,No,2983,30,3,2,0.5063,8,Age
586,train,No,Research & Development,Healthcare Representative,Yes,7632,35,8,3,0.4951,8,OverTime
587,test,Yes,Research & Development,Healthcare Representative,No,9824,31,1,3,0.5599,9,Age
590,train,Yes,Human Resources,Human Resources,Yes,9950,34,3,1,0.5397,9,OverTime
591,train,No,Research & Development,Laboratory Technician,No,2093,42,2,3,0.3895,5,Age
592,train,No,Sales,Sales Executive,No,9980,36,10,4,0.3967,6,Age
593,train,Yes,Research & Development,Laboratory Technician,No,3894,22,2,3,0.6393,10,Age
595,train,No,Sales,Sales Executive,No,4051,48,9,4,0.3501,3,StockOptionLevel
597,train,No,Sales,Manager,No,16835,55,10,2,0.4002,6,OverTime
599,train,No,Sales,Sales Executive,No,6230,41,14,4,0.3697,4,Age
600,train,No,Sales,Sales Executive,No,4717,35,11,3,0.3596,3,Age
601,train,No,Research & Development,Manufacturing Director,No,13237,40,20,3,0.3457,3,Age
602,train,No,Research & Development,Laboratory Technician,No,3755,39,8,3,0.3366,2,Age
604,test,No,Sales,Sales Executive,Yes,6582,31,6,4,0.5581,9,StockOptionLevel
605,test,No,Research & Development,Manufacturing Director,Yes,7406,42,10,1,0.3793,5,Age
606,test,No,Sales,Sales Executive,No,4805,45,8,2,0.3384,2,StockOptionLevel
608,test,Yes,Human Resources,Human Resources,Yes,2741,26,7,3,0.5929,10,OverTime
611,train,No,Research & Development,Manufacturing Director,No,4262,29,3,4,0.3449,2,StockOptionLevel
612,train,No,Research & Development,Research Director,No,16184,33,6,3,0.3046,1,StockOptionLevel
613,train,No,Sales,Manager,No,11557,31,5,4,0.3753,4,StockOptionLevel
614,train,Yes,Sales,Sales Representative,Yes,1878,18,0,2,0.7106,10,OverTime
615,train,No,Sales,Sales Executive,No,10932,40,1,1,0.3677,4,StockOptionLevel
616,train,No,Research & Development,Healthcare Representative,Yes,6811,41,8,3,0.49,8,OverTime
618,test,No,Sales,Sales Executive,No,4306,26,0,3,0.4944,8,StockOptionLevel
620,train,No,Sales,Sales Executive,No,4859,35,5,3,0.3678,4,OverTime
621,train,No,Sales,Sales Executive,No,5337,34,10,4,0.3671,4,OverTime
622,train,Yes,Research & Development,Laboratory Technician,Yes,2340,26,1,4,0.7369,10,MonthlyIncome
623,train,No,Research & Development,Manufacturing Director,No,7491,37,6,4,0.3631,4,Age
624,train,No,Research & Development,Healthcare Representative,No,10527,46,2,3,0.4343,7,Age
625,train,No,Sales,Manager,No,16595,41,18,1,0.3534,3,OverTime
626,test,No,Sales,Sales Executive,No,8834,37,9,2,0.3511,3,OverTime
630,test,No,Research & Development,Research Scientist,Yes,5577,52,10,1,0.3577,3,MonthlyIncome
631,train,Yes,Sales,Sales Executive,No,4707,32,4,3,0.5287,9,StockOptionLevel
632,train,No,Sales,Sales Representative,No,2400,24,2,4,0.4778,8,OverTime
634,train,No,Research & Development,Healthcare Representative,No,9824,38,1,3,0.3614,4,OverTime
635,test,No,Research & Development,Manufacturing Director,No,6447,37,6,2,0.3658,4,Age
638,test,No,Research & Development,Research Director,Yes,19502,49,31,3,0.365,4,MonthlyIncome
639,test,No,Research & Development,Research Scientist,Yes,2725,24,6,4,0.5452,9,OverTime
641,train,No,Sales,Sales Executive,No,6272,26,5,2,0.3833,5,StockOptionLevel
643,train,No,Research & Development,Laboratory Technician,No,2127,24,1,2,0.5247,9,MonthlyIncome
644,train,No,Human Resources,Manager,No,18200,50,32,2,0.3874,5,MonthlyIncome
645,train,No,Sales,Sales Representative,No,2096,25,7,3,0.472,8,OverTime
647,train,Yes,Research & Development,Laboratory Technician,Yes,2886,24,6,3,0.6034,10,OverTime
648,test,Yes,Sales,Sales Representative,No,2033,30,1,1,0.5466,9,OverTime
649,train,No,Research & Development,Research Scientist,Yes,3622,34,6,4,0.5004,8,OverTime
650,train,Yes,Sales,Sales Executive,No,4233,31,3,1,0.5642,9,StockOptionLevel
652,train,No,Research & Development,Laboratory Technician,No,3681,35,3,4,0.3759,4,Age
653,train,No,Sales,Sales Executive,No,5460,31,7,4,0.3013,1,StockOptionLevel
655,train,No,Research & Development,Research Scientist,No,2187,27,5,3,0.4411,7,MonthlyIncome
656,train,No,Sales,Sales Executive,Yes,9602,37,3,3,0.4938,8,OverTime
657,train,No,Research & Development,Research Scientist,No,2836,20,1,2,0.5588,9,Age
659,train,No,Research & Development,Healthcare Representative,No,4089,42,10,4,0.2917,1,Age
661,train,No,Research & Development,Research Director,Yes,16627,43,1,4,0.3018,1,Age
662,test,No,Research & Development,Research Scientist,No,2619,38,0,1,0.5196,9,Age
663,train,No,Research & Development,Laboratory Technician,Yes,5679,43,8,3,0.3425,2,MonthlyIncome
664,test,No,Research & Development,Manager,No,15402,48,3,1,0.3263,1,MonthlyIncome
665,train,No,Human Resources,Human Resources,No,5985,44,2,3,0.3675,4,Age
666,train,No,Sales,Sales Representative,Yes,2579,34,8,3,0.5613,9,OverTime
667,train,Yes,Sales,Sales Representative,No,3041,27,4,1,0.3999,6,OverTime
669,train,No,Sales,Sales Representative,No,3447,21,3,3,0.524,9,Age
671,train,No,Research & Development,Manager,Yes,19513,44,2,4,0.3329,2,MonthlyIncome
675,test,No,Research & Development,Research Scientist,No,2773,22,2,3,0.4846,8,Age
677,test,No,Sales,Sales Executive,No,7104,33,5,3,0.4551,7,StockOptionLevel
679,train,No,Research & Development,Research Scientist,Yes,6322,32,6,4,0.3892,5,StockOptionLevel
680,test,No,Research & Development,Research Scientist,No,2083,30,1,3,0.5148,8,MonthlyIncome
682,train,No,Sales,Sales Executive,No,8381,53,14,1,0.4214,6,OverTime
683,train,No,Research & Development,Research Scientist,No,2691,34,10,4,0.3326,2,OverTime
684,train,Yes,Sales,Sales Executive,No,4286,45,1,1,0.4336,7,OverTime
686,train,No,Research & Development,Laboratory Technician,Yes,2659,26,3,4,0.5678,9,OverTime
689,test,No,Research & Development,Manufacturing Director,No,9434,37,10,3,0.3333,2,Age
690,train,No,Sales,Sales Executive,No,5561,29,6,3,0.332,2,StockOptionLevel
691,train,No,Research & Development,Research Scientist,No,6646,35,17,4,0.3528,3,Age
692,train,No,Research & Development,Healthcare Representative,No,7725,33,13,4,0.3527,3,StockOptionLevel
698,train,No,Human Resources,Human Resources,No,10725,54,9,2,0.3771,4,OverTime
699,train,No,Research & Development,Manufacturing Director,Yes,8847,36,3,2,0.3917,5,OverTime
700,test,No,Research & Development,Research Scientist,No,2045,27,4,4,0.5383,9,Age
701,test,Yes,Research & Development,Research Scientist,Yes,1009,20,1,3,0.6354,10,MonthlyIncome
702,train,Yes,Research & Development,Research Scientist,Yes,3348,33,10,1,0.568,9,OverTime
704,train,No,Research & Development,Laboratory Technician,No,1281,35,1,3,0.4252,7,OverTime
705,train,No,Research & Development,Research Scientist,No,2819,23,3,1,0.401,6,StockOptionLevel
707,train,No,Sales,Sales Executive,No,4851,25,3,2,0.3276,1,StockOptionLevel
709,train,No,Sales,Sales Executive,No,4028,38,7,4,0.3863,5,Age
710,test,No,Research & Development,Research Scientist,No,2720,29,10,4,0.3564,3,StockOptionLevel
712,train,No,Sales,Sales Executive,No,8120,48,2,2,0.4095,6,OverTime
714,train,No,Sales,Sales Executive,Yes,4647,27,6,4,0.3268,1,StockOptionLevel
715,train,No,Research & Development,Research Scientist,No,4680,37,1,4,0.4384,7,Age
716,train,No,Research & Development,Laboratory Technician,Yes,3221,50,20,3,0.4431,7,OverTime
717,train,No,Research & Development,Healthcare Representative,No,8621,34,8,2,0.3925,5,Age
720,train,Yes,Sales,Sales Executive,No,4577,24,2,3,0.5761,9,Age
721,train,No,Research & Development,Healthcare Representative,No,4553,39,20,3,0.338,2,Age
722,test,No,Sales,Sales Executive,No,5396,32,10,4,0.4644,8,StockOptionLevel
723,train,Yes,Sales,Sales Executive,Yes,6796,50,4,3,0.4769,8,OverTime
724,test,No,Research & Development,Healthcare Representative,No,7625,38,9,4,0.3374,2,Age
725,train,No,Research & Development,Manufacturing Director,No,7412,27,9,1,0.4142,6,Age
727,train,No,Research & Development,Research Director,No,11159,32,7,4,0.4158,6,StockOptionLevel
728,test,No,Sales,Sales Executive,No,4960,47,7,1,0.4243,7,OverTime
729,train,No,Sales,Sales Executive,Yes,10475,40,18,1,0.4517,7,OverTime
730,test,No,Research & Development,Research Director,No,14814,53,5,3,0.3411,2,Age
731,train,No,Human Resources,Manager,No,19141,41,21,4,0.3296,2,MonthlyIncome
732,train,No,Sales,Sales Executive,No,5405,60,2,1,0.4202,6,OverTime
733,train,No,Research & Development,Manufacturing Director,No,8793,27,9,1,0.3311,2,StockOptionLevel
734,train,No,Human Resources,Manager,No,19189,41,22,3,0.2992,1,MonthlyIncome
738,train,No,Sales,Sales Representative,No,3875,50,2,2,0.372,4,OverTime
741,test,Yes,Research & Development,Research Scientist,Yes,2216,28,7,2,0.6951,10,OverTime
742,train,No,Research & Development,Research Director,No,11713,36,8,1,0.4002,6,OverTime
743,train,No,Research & Development,Manufacturing Director,Yes,7861,38,1,3,0.4281,7,OverTime
744,train,No,Research & Development,Laboratory Technician,No,3708,44,5,3,0.3965,6,Age
746,train,No,Sales,Sales Executive,Yes,13770,47,22,3,0.4135,6,MonthlyIncome
747,test,No,Sales,Sales Executive,No,5304,30,8,4,0.4256,7,StockOptionLevel
749,train,No,Sales,Sales Representative,No,2642,29,1,3,0.5515,9,Age
752,train,Yes,Research & Development,Research Scientist,Yes,2759,42,2,3,0.5651,9,OverTime
754,train,No,Sales,Sales Executive,No,6804,43,2,4,0.3767,4,Age
757,test,No,Research & Development,Healthcare Representative,No,6142,34,5,3,0.3427,2,Age
758,train,No,Research & Development,Laboratory Technician,No,2500,23,4,1,0.4246,7,OverTime
760,test,No,Human Resources,Human Resources,No,6389,39,8,2,0.3532,3,MonthlyIncome
762,test,No,Research & Development,Healthcare Representative,No,11103,56,10,4,0.3842,5,Age
763,train,No,Research & Development,Research Scientist,Yes,2342,40,4,4,0.5244,9,Age
764,test,No,Research & Development,Healthcare Representative,No,6811,27,7,1,0.4643,7,StockOptionLevel
766,train,No,Sales,Sales Representative,No,2297,29,2,2,0.4243,7,OverTime
769,train,No,Research & Development,Laboratory Technician,No,2450,53,2,4,0.377,4,Age
771,train,No,Research & Development,Healthcare Representative,No,5093,35,1,1,0.3692,4,YearsWithCurrManager
772,train,No,Research & Development,Laboratory Technician,No,5309,32,10,4,0.3849,5,StockOptionLevel
773,train,No,Research & Development,Research Scientist,Yes,3057,38,1,3,0.4935,8,OverTime
775,train,No,Research & Development,Manufacturing Director,No,5121,34,0,1,0.3792,5,YearsWithCurrManager
776,test,No,Sales,Manager,No,16856,52,34,1,0.3846,5,Age
780,test,Yes,Research & Development,Research Scientist,Yes,2686,33,10,4,0.5641,9,OverTime
781,train,No,Sales,Sales Executive,No,6180,25,6,4,0.4558,7,StockOptionLevel
783,train,No,Sales,Sales Representative,No,6632,45,8,3,0.3789,5,Age
784,train,No,Research & Development,Research Scientist,No,3505,23,2,3,0.5393,9,Age
785,test,Yes,Sales,Sales Executive,Yes,6397,47,5,3,0.5857,10,OverTime
786,train,No,Sales,Sales Executive,No,6274,34,6,4,0.3937,5,StockOptionLevel
787,train,Yes,Research & Development,Manager,Yes,19859,55,5,1,0.4253,7,OverTime
789,train,No,Sales,Sales Executive,No,7587,36,10,1,0.4096,6,OverTime
791,train,No,Research & Development,Research Scientist,No,4258,52,4,4,0.3462,3,Age
792,test,No,Research & Development,Laboratory Technician,No,4364,26,2,4,0.509,8,JobLevel
793,train,No,Research & Development,Healthcare Representative,No,4335,29,8,3,0.3842,5,StockOptionLevel
796,train,Yes,Sales,Sales Executive,No,5326,26,4,1,0.5599,9,StockOptionLevel
797,train,No,Research & Development,Research Scientist,No,3280,34,4,4,0.3644,4,Age
799,train,No,Research & Development,Manufacturing Director,Yes,5485,54,5,1,0.3545,3,MonthlyIncome
800,train,No,Sales,Sales Executive,No,4342,27,4,4,0.3328,2,StockOptionLevel
802,train,No,Research & Development,Research Scientist,Yes,2782,37,5,1,0.4565,7,OverTime
803,train,No,Research & Development,Manufacturing Director,Yes,5980,38,15,1,0.4675,8,OverTime
804,train,No,Research & Development,Research Scientist,No,4381,34,6,1,0.3704,4,Age
805,train,No,Sales,Sales Representative,No,2572,35,3,4,0.3957,6,Age
806,train,No,Research & Development,Laboratory Technician,No,3833,30,2,3,0.3881,5,StockOptionLevel
807,train,No,Research & Development,Healthcare Representative,No,4244,40,8,2,0.3242,1,StockOptionLevel
808,train,No,Sales,Sales Executive,No,6500,34,3,1,0.3353,2,OverTime
809,train,No,Research & Development,Manager,No,18430,42,24,4,0.3086,1,MonthlyIncome
811,train,Yes,Research & Development,Laboratory Technician,Yes,1601,23,0,1,0.6978,10,MonthlyIncome
812,train,No,Research & Development,Laboratory Technician,No,2694,24,1,2,0.4567,7,OverTime
813,train,No,Research & Development,Laboratory Technician,No,3149,52,5,3,0.3254,1,StockOptionLevel
815,train,No,Research & Development,Research Director,No,17639,50,4,3,0.37,4,Age
816,train,Yes,Research & Development,Laboratory Technician,Yes,2319,29,1,1,0.7054,10,MonthlyIncome
817,train,No,Research & Development,Research Director,No,11691,33,13,3,0.4216,7,StockOptionLevel
819,train,Yes,Sales,Sales Executive,No,5324,33,3,1,0.5445,9,StockOptionLevel
820,train,No,Research & Development,Manager,Yes,16752,47,26,4,0.318,1,Age
823,test,No,Research & Development,Manufacturing Director,No,5228,36,9,2,0.3183,1,StockOptionLevel
824,train,No,Research & Development,Research Scientist,No,2700,29,10,3,0.3432,2,OverTime
825,train,Yes,Research & Development,Research Director,Yes,19246,58,31,2,0.5057,8,OverTime
826,train,No,Research & Development,Research Scientist,No,2506,35,2,3,0.4,6,Age
827,train,No,Research & Development,Manufacturing Director,Yes,6062,42,4,4,0.354,3,Age
828,train,Yes,Research & Development,Research Scientist,No,4382,28,2,3,0.5932,10,Age
829,train,No,Human Resources,Human Resources,No,2143,36,5,2,0.3465,3,OverTime
830,train,No,Research & Development,Manufacturing Director,No,6162,32,14,3,0.3005,1,StockOptionLevel
832,train,No,Research & Development,Laboratory Technician,No,5094,40,1,3,0.4483,7,Age
833,train,No,Research & Development,Manufacturing Director,Yes,6877,30,0,4,0.5409,9,Age
834,train,No,Research & Development,Research Scientist,No,2274,45,1,3,0.5202,9,Age
836,train,No,Research & Development,Manufacturing Director,No,4434,42,9,2,0.3333,2,Age
837,train,No,Research & Development,Healthcare Representative,No,6288,38,4,1,0.3407,2,StockOptionLevel
838,test,No,Research & Development,Research Scientist,No,2553,34,5,4,0.4412,7,Age
840,train,Yes,Sales,Sales Executive,No,7654,49,9,4,0.3997,6,StockOptionLevel
842,train,Yes,Sales,Sales Executive,No,5160,55,9,4,0.4263,7,StockOptionLevel
843,train,No,Research & Development,Research Director,No,17159,43,4,1,0.3434,2,Age
844,test,No,Research & Development,Research Director,Yes,12808,27,9,4,0.3159,1,MonthlyIncome
845,train,No,Research & Development,Manufacturing Director,No,10221,35,8,3,0.3594,3,Age
846,train,No,Sales,Sales Executive,Yes,4779,28,8,2,0.5559,9,OverTime
847,test,No,Human Resources,Human Resources,No,3737,34,3,4,0.3937,5,WorkLifeBalance
848,train,Yes,Research & Development,Research Scientist,Yes,2366,26,8,3,0.6403,10,MonthlyIncome
850,train,No,Research & Development,Research Scientist,No,1706,27,0,4,0.4796,8,MonthlyIncome
851,train,No,Sales,Manager,No,16307,51,20,3,0.3559,3,MonthlyIncome
852,train,No,Research & Development,Healthcare Representative,No,5933,44,5,2,0.363,4,Age
854,train,No,Research & Development,Research Scientist,No,3424,25,4,1,0.5659,9,Age
855,test,No,Sales,Sales Executive,No,4037,33,9,1,0.3256,1,StockOptionLevel
856,train,No,Research & Development,Research Scientist,No,2559,35,6,1,0.3947,5,Age
857,test,No,Sales,Sales Executive,Yes,6201,36,18,4,0.3987,6,OverTime
859,train,No,Sales,Sales Executive,No,4403,32,5,4,0.3412,2,StockOptionLevel
861,train,No,Research & Development,Research Scientist,No,3761,30,5,4,0.4201,6,StockOptionLevel
862,train,No,Sales,Sales Executive,Yes,10934,53,5,4,0.4941,8,OverTime
864,train,No,Sales,Sales Executive,Yes,10761,45,5,1,0.3844,5,StockOptionLevel
865,train,No,Research & Development,Research Scientist,No,5175,32,5,3,0.3458,3,StockOptionLevel
867,train,No,Research & Development,Manufacturing Director,No,13826,52,9,4,0.3398,2,Age
868,train,No,Sales,Sales Executive,No,6334,37,1,3,0.3844,5,YearsWithCurrManager
869,test,No,Human Resources,Human Resources,No,4936,28,5,4,0.3516,3,StockOptionLevel
872,test,No,Research & Development,Manufacturing Director,No,4775,22,2,4,0.3429,2,StockOptionLevel
874,train,No,Research & Development,Laboratory Technician,Yes,2818,44,3,4,0.4507,7,Age
875,train,No,Research & Development,Research Scientist,Yes,2515,42,2,4,0.5424,9,Age
878,train,No,Human Resources,Human Resources,No,2342,36,5,1,0.3628,4,Age
879,test,No,Sales,Sales Executive,Yes,4194,25,5,1,0.5399,9,StockOptionLevel
880,train,No,Research & Development,Manufacturing Director,Yes,10685,35,17,3,0.351,3,OverTime
881,train,Yes,Research & Development,Research Scientist,Yes,2022,35,10,2,0.6493,10,MonthlyIncome
